PositiveTraining,NegativeTraining,Clustercount,contrastThreshold,Threshold,Accuracy,HP,LP,HN,LN,TrainingTime,PredictionTime
80,80,100,0.06,0.6,0.7574257425742574,65,37,12,88,18.00970457800213,39.61434861900125
80,80,100,0.06,0.7,0.5891089108910891,22,80,3,97,18.00970457800213,39.61434861900125
80,80,100,0.06,0.8,0.504950495049505,2,100,0,100,18.00970457800213,39.61434861900125
80,80,100,0.07,0.6,0.801980198019802,74,28,12,88,17.049947417999647,38.48569137400045
80,80,100,0.07,0.7,0.6683168316831684,41,61,6,94,17.049947417999647,38.48569137400045
80,80,100,0.07,0.8,0.5643564356435643,15,87,1,99,17.049947417999647,38.48569137400045
80,80,120,0.06,0.6,0.8514851485148515,89,13,17,83,19.67110738199699,47.748626144999434
80,80,120,0.06,0.7,0.7227722772277227,53,49,7,93,19.67110738199699,47.748626144999434
80,80,120,0.06,0.8,0.5445544554455446,13,89,3,97,19.67110738199699,47.748626144999434
80,80,120,0.07,0.6,0.8267326732673267,94,8,27,73,19.439583886000037,47.91705622200243
80,80,120,0.07,0.7,0.7970297029702971,76,26,15,85,19.439583886000037,47.91705622200243
80,80,120,0.07,0.8,0.6386138613861386,35,67,6,94,19.439583886000037,47.91705622200243
